,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel,province,city
3696,3774.0,巧迪尚惠唇彩持久保湿滋润不脱色防水抖音口红唇蜜唇釉学生染唇液,17.0,4322.0,江苏 常州,巧迪尚惠尚时美专卖店,//detail.tmall.com/item.htm?id=19151594582&ns=1&abbucket=13,73474.0,天猫,商家,其他,0-20,江苏, 常州
3699,3777.0,果冻变色口红持久保湿不脱色不沾杯补水滋润唇膏非韩国防水唇彩,9.9,5272.0,广东 汕头,恒芳旗舰店,//detail.tmall.com/item.htm?id=543240307037&ns=1&abbucket=13,52192.8,天猫,商家,其他,0-20,广东, 汕头
3702,3780.0,KRYOLAN德国面具Lip Rouge Wheel 六色口红拼盘,299.0,119.0,香港 新界,kryolan海外旗舰店,//detail.tmall.com/item.htm?id=559029438449&ns=1&abbucket=13,35581.0,天猫,商家,其他,280-300,香港, 新界
3705,3783.0,兰瑟口红持久保湿不脱色韩国防水不沾杯不掉色豆沙姨妈色南瓜学生,54.0,437.0,江苏 南京,lansur兰瑟隽穆专卖店,//detail.tmall.com/item.htm?id=545781007332&ns=1&abbucket=13,23598.0,天猫,商家,其他,40-60,江苏, 南京
3712,3790.0,口红持久保湿不脱色韩国防水不易掉色不沾杯滋润星空唇膏正品女,23.0,1814.0,广东 广州,薇罗尼卡旗舰店,//detail.tmall.com/item.htm?id=564593041156&ns=1&abbucket=13,41722.0,天猫,商家,其他,20-40,广东, 广州
3713,3791.0,liphop口红南瓜色哑光雾面西柚脏橘色吃土砖红色不易脱色学生唇膏,16.8,330.0,山东 日照,liphop唇骑士旗舰店,//detail.tmall.com/item.htm?id=547010806494&ns=1&abbucket=13,5544.0,天猫,商家,其他,0-20,山东, 日照
3725,3803.0,卡姿兰限量版萌熊口红不掉色保湿品牌正品专柜正红色诱惑小熊套盒,119.0,51.0,江苏 常州,卡姿兰诗唯雅专卖店,//detail.tmall.com/item.htm?id=564792996897&ns=1&abbucket=13,6069.0,天猫,商家,其他,100-120,江苏, 常州
3728,3806.0,【新品有礼】The Face Shop 水漾迷雾唇膏笔 保湿滋润女口红正品,69.0,480.0,浙江 杭州,thefaceshop官方店,//detail.tmall.com/item.htm?id=564869461251&ns=1&abbucket=13,33120.0,天猫,商家,其他,60-80,浙江, 杭州
3733,3811.0,NARS 纳斯 2017春季限量WILDFIRE唇釉 6ml 液体口红唇彩 持久显色,295.0,25.0,海外,xylife海外专营店,//detail.tmall.com/item.htm?id=553363102370&ns=1&abbucket=13,7375.0,天猫,商家,其他,280-300,海外,海外
3744,3822.0,美颜秘笈果冻口红持久保湿不脱色不沾杯防水滋润变色唇膏孕妇正品,98.0,548.0,广东 广州,美颜秘笈旗舰店,//detail.tmall.com/item.htm?id=546114602045&ns=1&abbucket=13,53704.0,天猫,商家,其他,80-100,广东, 广州
3745,3823.0,口红持久滋润补水保湿防水不易脱色脏橘西柚豆沙韩国女学生款正品,59.9,533.0,广东 广州,韩思黎化妆品旗舰店,//detail.tmall.com/item.htm?id=562997278584&ns=1&abbucket=13,31926.7,天猫,商家,其他,40-60,广东, 广州
3747,3825.0,卡姿兰唇彩保湿滋润不脱色防水持久唇釉唇蜜学生款咬唇液口红正品,69.0,711.0,安徽 合肥,卡姿兰悦美专卖店,//detail.tmall.com/item.htm?id=21443399159&ns=1&abbucket=13,49059.0,天猫,商家,其他,60-80,安徽, 合肥
3751,3829.0,MCC彩妆韩国进口唇釉唇彩水润保湿滋润不脱色防水唇膏咬唇妆口红,159.0,98.0,浙江 杭州,mcc旗舰店,//detail.tmall.com/item.htm?id=537024888250&ns=1&abbucket=13,15582.0,天猫,商家,其他,140-160,浙江, 杭州
3757,3835.0,阿芙玫瑰之吻幻彩变色润唇膏 品牌专柜正品口红学生党变色唇膏,99.0,262.0,北京,阿芙官方旗舰店,//detail.tmall.com/item.htm?id=558343235050&ns=1&abbucket=13,25938.0,天猫,商家,其他,80-100,北京,北京
3759,3837.0,玛丽黛佳口红小样套装一盒持久保湿不脱色韩国防水学生旗舰店正品,97.0,169.0,江苏 南京,雅妆化妆品专营店,//detail.tmall.com/item.htm?id=556489155639&ns=1&abbucket=13,16393.0,天猫,商家,其他,80-100,江苏, 南京
3765,3843.0,高柏诗Gopas口红持久保湿不脱色非韩国防水唇膏学生款可爱正品,39.0,1072.0,浙江 杭州,高柏诗旗舰店,//detail.tmall.com/item.htm?id=17524895893&ns=1&abbucket=13,41808.0,天猫,商家,其他,20-40,浙江, 杭州
3767,3845.0,玛丽黛佳元气灵动唇膏口红果冻感西柚豆沙色滋润保湿持久正品,59.0,1577.0,江苏 苏州,玛丽黛佳旗舰店,//detail.tmall.com/item.htm?id=526400542672&ns=1&abbucket=13,93043.0,天猫,商家,其他,40-60,江苏, 苏州
3768,3846.0,得鲜theSAEM按压按钮网红口红持久保湿不脱色韩国防水 橘红姨妈色,59.0,530.0,浙江 杭州,得鲜小也专卖店,//detail.tmall.com/item.htm?id=544406577390&ns=1&abbucket=13,31270.0,天猫,商家,其他,40-60,浙江, 杭州
3770,3848.0,Revlon/露华浓持久不脱色唇釉保湿滋润唇蜜咬唇妆染唇液口红雨衣,79.0,2502.0,浙江 杭州,revlon海外旗舰店,//detail.tmall.com/item.htm?id=556940431640&ns=1&abbucket=13,197658.0,天猫,商家,其他,60-80,浙江, 杭州
3773,3851.0,3支套装口红持久保湿不脱色防水韩国学生款可爱豆沙色唇膏正品,16.8,1328.0,浙江 金华,健美创研韩莫若专卖店,//detail.tmall.com/item.htm?id=561964700685&ns=1&abbucket=13,22310.4,天猫,商家,其他,0-20,浙江, 金华
3776,3854.0,美宝莲口红mnu09干枫叶红女皇色雾感哑光唇膏大姨妈色官方旗舰店,79.9,329.0,上海,美宝莲博尼达专卖店,//detail.tmall.com/item.htm?id=544912998870&ns=1&abbucket=13,26287.100000000002,天猫,商家,Maybelline/美宝莲,60-80,上海,上海
3777,3855.0,意大利正品KIKO口红唇膏4系小黑管 滋润唇膏豆沙色玫瑰色407#412,55.0,732.0,香港 新界,美丽聚海外专营店,//detail.tmall.com/item.htm?id=555739385177&ns=1&abbucket=13,40260.0,天猫,商家,其他,40-60,香港, 新界
3787,3867.0,美宝莲口红好气色轻唇膏持久保湿滋润补水润唇膏女有色官方旗舰店,65.0,106.0,上海,美天宸化妆品专营店,//detail.tmall.com/item.htm?id=551398136137&ns=1&abbucket=13,6890.0,天猫,商家,Maybelline/美宝莲,60-80,上海,上海
3790,3870.0,美宝莲好气色轻唇膏咬唇妆口红唇膏持久保湿一抹三色咬唇官方正品,99.0,1223.0,上海,美宝莲旗舰店,//detail.tmall.com/item.htm?id=44933014185&ns=1&abbucket=13,121077.0,天猫,商家,Maybelline/美宝莲,80-100,上海,上海
3794,3874.0,卡姿兰唇膏口红正品持久保湿不脱色防水滋润补水学生款网红润唇膏,25.0,526.0,安徽 合肥,卡姿兰悦美专卖店,//detail.tmall.com/item.htm?id=538896015463&ns=1&abbucket=13,13150.0,天猫,商家,其他,20-40,安徽, 合肥
3796,3876.0,恒芳非泰国小草莓变色果冻唇膏持久保湿滋润补水不脱色口红学生款,9.9,2502.0,广东 汕头,恒芳旗舰店,//detail.tmall.com/item.htm?id=563410622795&ns=1&abbucket=13,24769.8,天猫,商家,其他,0-20,广东, 汕头
3801,3881.0,Revlon/露华浓哑光唇釉咬唇妆唇蜜染唇液口红持久保湿滋润不脱色,79.0,1123.0,浙江 杭州,revlon海外旗舰店,//detail.tmall.com/item.htm?id=557834424786&ns=1&abbucket=13,88717.0,天猫,商家,其他,60-80,浙江, 杭州
3802,3882.0,泰国Mistine爱慕方管口红唇膏滋润持久保湿不易脱色防水不易沾杯,99.0,708.0,香港 新界,mistine海外旗舰店,//detail.tmall.com/item.htm?id=560789784029&ns=1&abbucket=13,70092.0,天猫,商家,其他,80-100,香港, 新界
3811,3891.0,兰瑟魅惑唇膏升级版口红保湿滋润锁色不易脱色姨妈色专柜正品,89.0,193.0,广东 广州,兰瑟化妆品旗舰店,//detail.tmall.com/item.htm?id=21428084343&ns=1&abbucket=13,17177.0,天猫,商家,其他,80-100,广东, 广州
3812,3892.0,葆玛蕾敦哑光口红持久保湿不脱色防水学生唇膏滋润补水正品非韩国,45.0,2781.0,广东 广州,葆玛蕾敦旗舰店,//detail.tmall.com/item.htm?id=543195556851&ns=1&abbucket=13,125145.0,天猫,商家,其他,40-60,广东, 广州
3815,3895.0,欧莱雅纷泽琉金唇膏3.7g保湿滋润护唇口红人鱼姬金色G101星空R101,106.3,106.0,上海,理想无限化妆品专营店,//detail.tmall.com/item.htm?id=541928374493&ns=1&abbucket=13,11267.8,天猫,商家,其他,100-120,上海,上海
3840,3920.0,玛丽黛佳口红控唇膏套装 持久保湿滋润不容易脱色6支一盒多色正品,129.0,467.0,江苏 苏州,玛丽黛佳旗舰店,//detail.tmall.com/item.htm?id=559318190872&ns=1&abbucket=13,60243.0,天猫,商家,其他,120-140,江苏, 苏州
3845,3925.0,3支装口红持久保湿不脱色防水唇膏学生款可爱韩国豆沙色正品套装,24.9,1381.0,浙江 金华,健美创研韩莫若专卖店,//detail.tmall.com/item.htm?id=564825350444&ns=1&abbucket=13,34386.9,天猫,商家,其他,20-40,浙江, 金华
3846,3926.0,姨妈色口红正品保湿学生款西柚色咬唇妆不脱色防水唇膏,29.9,998.0,四川 成都,蓓娜尔斯旗舰店,//detail.tmall.com/item.htm?id=562048586574&ns=1&abbucket=13,29840.199999999997,天猫,商家,其他,20-40,四川, 成都
3848,3928.0,伊蒂之屋草莓心机口红婚纱小天使PK012唇釉唇膏人鱼姬正品爱丽,98.0,443.0,浙江 嘉兴,etudehouse伊蒂之屋旗舰店,//detail.tmall.com/item.htm?id=527332724325&ns=1&abbucket=13,43414.0,天猫,商家,其他,80-100,浙江, 嘉兴
3856,3936.0,意大利KIKO口红4系黑色方管保湿滋润不易脱色丰盈滋养唇膏.,65.0,124.0,香港 新界,mytime官方海外旗舰店,//detail.tmall.com/item.htm?id=562734125013&ns=1&abbucket=13,8060.0,天猫,商家,其他,60-80,香港, 新界
3858,3938.0,美宝莲口红绝色持久唇膏唇彩防水保湿不脱色 复古大红色rp41学生,85.0,71.0,上海,美宝莲欧美斯专卖店,//detail.tmall.com/item.htm?id=535439385443&ns=1&abbucket=13,6035.0,天猫,商家,Maybelline/美宝莲,80-100,上海,上海
3887,3967.0,泊泉雅口红持久保湿不沾杯可爱唇膏正品防水不脱色唇釉学生小样女,8.9,8047.0,广东 广州,泊泉雅雅兰丝专卖店,//detail.tmall.com/item.htm?id=522563222369&ns=1&abbucket=13,71618.3,天猫,商家,其他,0-20,广东, 广州
